"ID";"Produto";"Descrição";"Preço original (R$)";"Estoque";"Fotos";"Desconto (%)";"Preço final (R$)";"Exige receita"
"506";"Algodão Hidrófilo (10)";"50g";"19,50";"267";"";"20";"15,60";"Não"
"505";"Gaze Estéril (10)";"pacote 10 unidades";"69,56";"54";"";"0";"69,56";"Não"
"504";"Curativo Adesivo (10)";"caixa 100 unidades";"53,83";"210";"https://exemplo.com/fotos/produto3568_1.jpg";"25";"40,37";"Não"
"503";"Termômetro Digital (10)";"unidade";"47,32";"283";"https://exemplo.com/fotos/produto9707_1.jpg | https://exemplo.com/fotos/produto9426_2.jpg";"0";"47,32";"Não"
"502";"Luva Descartável (10)";"100 unidades";"38,79";"50";"https://exemplo.com/fotos/produto1483_1.jpg | https://exemplo.com/fotos/produto4221_2.jpg";"0";"38,79";"Não"
"501";"Máscara Descartável (10)";"50 unidades";"65,40";"283";"";"5";"62,13";"Não"
"500";"Álcool Etílico 70% (10)";"1L";"89,47";"21";"https://exemplo.com/fotos/produto1045_1.jpg";"5";"85,00";"Não"
"499";"Álcool em Gel 70% (10)";"500ml";"40,04";"30";"https://exemplo.com/fotos/produto2746_1.jpg | https://exemplo.com/fotos/produto6786_2.jpg";"30";"28,03";"Não"
"498";"Escova Dental (10)";"unidade";"29,64";"261";"";"0";"29,64";"Não"
"497";"Fio Dental (10)";"50m";"63,64";"260";"https://exemplo.com/fotos/produto3562_1.jpg";"25";"47,73";"Não"
"496";"Enxaguante Bucal (10)";"500ml";"75,21";"262";"";"5";"71,45";"Não"
"495";"Creme Dental (10)";"90g";"19,51";"162";"";"0";"19,51";"Não"
"494";"Desodorante Antitranspirante (10)";"150ml";"46,37";"225";"https://exemplo.com/fotos/produto6624_1.jpg | https://exemplo.com/fotos/produto9685_2.jpg";"0";"46,37";"Não"
"493";"Sabonete em Barra (10)";"90g";"36,83";"205";"https://exemplo.com/fotos/produto3526_1.jpg | https://exemplo.com/fotos/produto4083_2.jpg";"15";"31,31";"Não"
"492";"Condicionador Hidratante (10)";"350ml";"62,50";"268";"";"15";"53,13";"Não"
"491";"Shampoo Anticaspa (10)";"200ml";"8,46";"179";"";"0";"8,46";"Não"
"490";"Hidratante Corporal (10)";"400ml";"66,80";"220";"";"10";"60,12";"Não"
"489";"Sabonete Líquido Facial (10)";"150ml";"70,75";"275";"https://exemplo.com/fotos/produto9477_1.jpg";"25";"53,06";"Não"
"488";"Protetor Solar Corporal FPS 30 (10)";"200ml";"7,17";"131";"https://exemplo.com/fotos/produto5912_1.jpg";"25";"5,38";"Não"
"487";"Protetor Solar Facial FPS 60 (10)";"40g";"87,36";"124";"https://exemplo.com/fotos/produto7986_1.jpg";"0";"87,36";"Não"
"486";"Pente Fino Anti Piolho (9)";"unidade";"42,03";"193";"https://exemplo.com/fotos/produto6408_1.jpg";"10";"37,83";"Não"
